Date,Open,High,Low,Close,Volume
03/09/2017,"16.00","16.65","15.90","16.00","44,080,602"
03/08/2017,"16.60","16.75","15.95","16.20","13,942,300"
03/07/2017,"16.80","16.85","16.50","16.65","5,251,100"
03/06/2017,"16.90","17.00","16.75","16.80","1,810,400"
03/03/2017,"17.05","17.05","16.80","16.90","1,536,000"
03/02/2017,"17.75","17.75","16.85","17.00","20,903,900"
03/01/2017,"17.75","17.75","16.55","17.05","3,077,500"
02/28/2017,"18.00","18.00","17.70","17.75","2,370,700"
02/27/2017,"17.95","18.50","17.70","17.85","2,058,900"
02/24/2017,"18.00","18.15","17.95","18.10","31,609,000"
02/23/2017,"18.00","18.40","17.95","18.00","6,851,900"
02/22/2017,"18.50","18.50","17.95","18.00","31,340,301"
02/21/2017,"18.05","18.05","17.95","18.00","9,925,500"
02/20/2017,"18.05","18.10","17.90","18.00","9,694,400"
02/17/2017,"18.20","18.25","18.00","18.05","13,190,000"
02/16/2017,"18.20","18.40","18.00","18.20","4,696,600"
02/15/2017,"18.20","18.30","18.15","18.25","45,462,102"
02/14/2017,"18.35","18.50","18.15","18.30","9,675,400"
02/13/2017,"18.40","18.50","18.30","18.40","4,306,200"
02/10/2017,"18.50","18.55","18.35","18.50","11,789,700"
02/09/2017,"18.50","18.55","18.05","18.45","25,990,000"
02/08/2017,"18.65","18.70","18.10","18.40","17,107,199"
02/07/2017,"18.70","19.00","18.30","18.65","9,843,900"
02/06/2017,"18.70","19.20","18.65","18.90","24,381,900"
02/03/2017,"18.70","19.00","18.55","18.65","13,730,700"
02/02/2017,"18.70","19.00","18.55","18.55","3,949,200"
02/01/2017,"18.50","18.70","18.40","18.55","60,480,102"
01/31/2017,"18.45","18.60","18.30","18.50","5,451,000"
01/30/2017,"18.25","18.50","18.25","18.35","634,100"
01/27/2017,"18.25","18.50","18.20","18.40","9,779,300"
01/26/2017,"18.20","18.35","18.15","18.25","6,200,000"
01/25/2017,"18.20","18.25","18.15","18.20","3,375,900"
01/24/2017,"19.00","19.00","18.15","18.20","12,379,200"
01/23/2017,"18.10","18.30","18.05","18.20","974,900"
01/20/2017,"18.15","18.30","18.10","18.15","10,781,400"
01/19/2017,"18.15","18.30","18.10","18.15","17,568,699"
01/18/2017,"17.95","18.30","17.85","18.05","29,114,000"
01/17/2017,"18.00","18.00","17.90","17.95","5,467,100"
01/16/2017,"17.95","18.00","17.85","17.95","3,721,600"
01/13/2017,"17.95","18.00","17.85","17.95","21,490,900"
01/12/2017,"17.90","18.00","17.85","17.95","12,902,900"
01/11/2017,"18.50","18.50","17.95","18.00","16,375,700"
01/10/2017,"18.60","18.60","17.80","18.20","14,399,200"
01/09/2017,"18.80","18.80","18.45","18.50","18,451,400"
01/06/2017,"18.90","19.00","18.50","18.60","28,016,699"
01/05/2017,"19.00","19.00","18.60","18.80","12,900,500"
01/04/2017,"19.00","19.05","18.90","19.00","2,623,500"
01/03/2017,"18.90","19.20","18.90","19.00","10,112,100"
12/30/2016,"19.10","19.20","19.00","19.15","6,057,600"
12/29/2016,"19.50","19.50","19.00","19.05","6,069,300"
12/28/2016,"19.70","19.70","19.10","19.25","6,533,800"
12/23/2016,"19.10","19.60","19.10","19.50","3,735,600"
12/22/2016,"19.00","19.50","19.00","19.45","5,924,300"
12/21/2016,"19.00","19.15","18.90","19.00","6,269,900"
12/20/2016,"19.20","19.20","18.80","19.00","21,731,900"
12/19/2016,"18.80","19.30","18.60","19.00","7,670,800"
12/16/2016,"18.75","18.90","18.60","18.75","11,319,900"
12/15/2016,"19.00","19.00","18.65","18.75","1,996,200"
12/14/2016,"18.85","19.50","18.50","18.90","3,555,700"
12/13/2016,"18.95","19.00","18.80","18.90","7,989,400"
12/09/2016,"20.00","20.00","18.90","19.00","2,614,700"
12/08/2016,"19.60","19.70","18.95","19.35","6,487,100"
12/07/2016,"19.85","19.85","19.65","19.70","3,500,500"
12/06/2016,"19.85","19.95","19.75","19.80","5,766,400"
12/05/2016,"19.90","20.00","19.85","19.90","4,018,300"
12/02/2016,"20.00","20.25","19.90","19.95","9,739,100"
12/01/2016,"19.90","20.25","19.90","20.00","7,026,900"
11/30/2016,"19.85","20.00","19.85","19.90","24,813,500"
11/29/2016,"19.90","19.95","19.70","19.85","14,562,700"
11/28/2016,"19.95","19.95","19.70","19.85","6,245,200"
11/25/2016,"19.90","20.00","19.80","19.90","450,200"
11/24/2016,"20.00","20.25","19.90","19.95","17,758,699"
11/23/2016,"20.00","20.25","19.95","20.00","12,872,700"
11/22/2016,"20.00","20.25","19.95","19.95","12,827,400"
11/21/2016,"20.00","20.25","19.90","20.00","10,284,100"
11/18/2016,"20.75","20.75","20.00","20.00","2,022,200"
11/17/2016,"20.50","21.50","20.25","20.50","8,050,500"
11/16/2016,"20.00","21.00","20.00","20.50","4,934,100"
11/15/2016,"20.25","20.75","20.00","20.25","3,405,100"
11/14/2016,"21.00","21.00","20.25","20.25","3,327,800"
11/11/2016,"21.00","21.00","20.50","20.75","8,728,800"
11/10/2016,"20.25","21.00","20.25","20.75","3,933,300"
11/09/2016,"20.75","20.75","19.65","20.25","7,082,100"
11/08/2016,"20.75","21.00","20.50","20.75","16,019,400"
11/07/2016,"21.50","21.50","21.00","21.00","5,744,000"
11/04/2016,"21.25","21.75","20.75","21.25","18,369,801"
11/03/2016,"20.75","21.50","20.75","21.25","21,770,801"
11/02/2016,"20.00","21.00","20.00","20.75","4,073,100"
11/01/2016,"19.90","21.25","19.75","20.25","4,060,100"
10/31/2016,"19.90","19.95","19.75","19.85","4,518,400"
10/28/2016,"20.00","20.00","19.80","19.90","628,500"
10/27/2016,"20.00","20.00","19.90","19.95","6,139,900"
10/26/2016,"20.00","20.25","19.95","20.00","8,903,900"
10/25/2016,"20.00","20.25","19.80","20.00","1,567,600"
10/24/2016,"19.70","20.25","19.70","20.00","4,937,900"
10/21/2016,"19.75","19.85","19.65","19.70","17,658,500"
10/19/2016,"19.75","19.80","19.55","19.70","1,854,300"
10/18/2016,"19.85","19.85","19.70","19.75","909,500"
10/17/2016,"20.00","20.00","19.80","19.85","3,695,300"
10/14/2016,"19.85","20.25","19.85","19.95","495,000"
10/13/2016,"19.75","20.25","19.75","19.95","6,404,000"
10/12/2016,"20.00","20.00","19.50","19.90","3,603,000"
10/11/2016,"20.25","20.75","19.95","20.00","9,580,200"
10/10/2016,"20.00","20.50","20.00","20.25","37,949,898"
10/07/2016,"19.95","20.50","19.95","20.25","3,906,500"
10/06/2016,"20.00","20.25","19.90","19.95","3,648,800"
10/05/2016,"20.00","20.25","19.95","20.00","4,781,300"
10/04/2016,"20.00","20.25","20.00","20.00","8,617,100"
10/03/2016,"19.90","20.50","19.70","20.00","7,976,500"
09/30/2016,"19.70","20.00","19.70","19.95","16,347,900"
09/29/2016,"19.20","19.95","19.20","19.85","939,800"
09/28/2016,"19.70","20.00","19.20","19.95","7,414,100"
09/27/2016,"19.55","19.80","19.55","19.70","53,639,801"
09/26/2016,"19.55","19.70","19.20","19.50","1,123,600"
09/23/2016,"19.20","19.55","19.20","19.40","1,496,800"
09/22/2016,"19.50","19.50","19.00","19.40","106,196,602"
09/21/2016,"19.05","19.40","19.00","19.35","10,812,700"
09/20/2016,"19.05","19.30","19.05","19.15","5,385,600"
09/19/2016,"18.90","19.20","18.90","19.00","2,168,600"
09/16/2016,"19.00","19.00","18.75","18.90","2,716,900"
09/15/2016,"18.85","19.00","18.75","18.90","1,710,400"
09/14/2016,"18.90","19.00","18.70","18.90","6,342,900"
09/13/2016,"19.00","19.30","18.65","19.00","8,092,300"
09/09/2016,"19.00","19.50","18.95","19.00","3,635,000"
09/08/2016,"19.00","19.05","18.90","19.00","6,426,900"
09/07/2016,"18.95","19.10","18.80","19.00","57,665,602"
09/06/2016,"18.50","19.00","18.50","18.85","4,872,600"
09/05/2016,"19.00","19.00","18.00","18.40","5,363,200"
09/02/2016,"19.90","20.25","19.85","19.95","5,901,000"
09/01/2016,"20.25","20.50","19.90","20.00","58,728,102"
08/31/2016,"20.00","20.50","20.00","20.00","12,203,800"
08/30/2016,"20.00","20.25","19.80","20.00","12,406,600"
08/29/2016,"19.75","20.25","19.75","20.00","46,320,000"
08/26/2016,"19.50","19.85","19.50","19.65","9,082,500"
08/25/2016,"21.25","21.50","19.15","20.00","26,239,199"
08/24/2016,"21.00","21.75","21.00","21.25","22,572,400"
08/23/2016,"20.75","21.50","20.75","21.25","2,811,400"
08/22/2016,"21.00","21.25","20.50","20.75","2,266,300"
08/19/2016,"21.25","21.50","20.50","21.25","41,411,500"
08/18/2016,"21.00","21.50","21.00","21.25","19,517,400"
08/17/2016,"21.25","21.75","21.00","21.25","8,687,200"
08/16/2016,"20.25","21.50","20.25","21.00","6,350,000"
08/15/2016,"20.25","20.50","20.00","20.25","1,392,800"
08/12/2016,"19.90","20.25","19.90","20.00","1,462,800"
08/11/2016,"19.80","20.00","19.75","19.90","3,253,300"
08/10/2016,"19.80","20.00","19.80","19.90","4,459,000"
08/09/2016,"19.70","20.00","19.65","19.75","5,322,500"
08/08/2016,"19.55","19.80","19.55","19.70","9,868,500"
08/05/2016,"19.50","20.00","19.50","19.80","11,536,100"
08/04/2016,"20.25","20.25","19.40","19.65","3,087,500"
08/03/2016,"20.25","20.75","20.25","20.25","13,094,300"
08/02/2016,"19.50","21.00","19.50","20.00","19,785,400"
08/01/2016,"19.10","19.55","19.00","19.40","17,379,100"
07/29/2016,"18.90","19.20","18.90","19.05","2,835,700"
07/28/2016,"18.80","19.05","18.80","18.90","8,619,300"
