Date,Open,High,Low,Close,Volume
10/12/2022,"26.00","26.70","25.25","26.35","12,788,300"
10/11/2022,"25.50","26.50","25.50","25.95","9,481,300"
10/07/2022,"24.50","26.00","24.00","24.75","20,918,000"
10/06/2022,"24.00","24.30","23.60","23.65","40,335,301"
10/05/2022,"24.35","24.45","23.65","23.70","10,551,300"
10/04/2022,"25.00","25.00","23.90","24.45","10,379,300"
10/03/2022,"24.80","24.80","24.50","24.75","591,400"
09/30/2022,"25.05","25.05","24.85","24.95","4,541,600"
09/29/2022,"26.00","26.00","24.70","25.15","2,863,700"
09/28/2022,"26.50","26.50","25.75","25.95","3,706,500"
09/27/2022,"26.95","26.95","25.95","26.25","4,702,900"
09/26/2022,"27.50","27.95","26.20","27.05","7,178,600"
09/23/2022,"28.00","28.00","26.80","27.40","13,487,700"
09/22/2022,"28.00","28.00","27.40","27.50","9,561,000"
09/21/2022,"28.00","28.00","27.40","27.50","6,238,800"
09/20/2022,"27.70","28.00","27.05","27.55","5,351,600"
09/19/2022,"27.10","28.00","26.60","26.80","1,335,500"
09/16/2022,"26.80","27.00","26.40","26.55","13,486,400"
09/15/2022,"27.90","28.00","26.60","26.85","19,525,801"
09/14/2022,"28.95","28.95","27.85","28.20","4,601,200"
09/12/2022,"29.00","29.00","28.40","28.65","13,162,200"
09/09/2022,"29.95","29.95","28.80","29.25","3,144,600"
09/08/2022,"30.00","30.00","29.70","29.90","3,071,200"
09/07/2022,"30.90","30.90","29.50","29.85","4,653,700"
09/06/2022,"30.60","31.85","30.15","31.05","7,397,300"
09/05/2022,"28.00","30.60","28.00","29.05","4,281,700"
09/02/2022,"28.00","29.80","27.95","28.05","7,760,900"
09/01/2022,"28.50","28.50","27.75","27.85","14,308,900"
08/31/2022,"28.50","28.50","27.50","27.95","12,171,700"
08/30/2022,"29.00","29.00","28.10","28.20","5,198,300"
08/29/2022,"28.05","29.00","28.00","28.25","1,756,700"
08/26/2022,"28.45","29.00","28.00","28.05","4,559,100"
08/25/2022,"29.00","29.00","28.00","28.45","1,614,000"
08/24/2022,"29.50","29.80","28.05","29.10","3,560,300"
